age,annual_income,intent,bhk_preference,bhk_enquired,stated_budget,rate_psf,carpet_sqft,property_ticket,downpayment_pct,loan_amount,emi_monthly,emi_to_income,affordability_ratio,budget_match,bhk_match,_true_p,converted,city_Bengaluru,city_Chennai,city_Delhi-NCR,city_Hyderabad,city_Kolkata,city_Mumbai-MMR,city_Pune
57,1759873,0,3,3,13433286,11000,1524,16766973,0.237,12791530,111819,0.762,9.53,0,1,0.00037,0,0,0,1,0,0,0,0
38,1456154,1,2,2,14539924,8800,712,6261709,0.204,4981824,43549,0.359,4.3,0,1,0.04189,0,1,0,0,0,0,0,0
46,3038472,0,2,3,18877544,10280,1490,15321935,0.175,12644782,110536,0.437,5.04,1,0,0.05074,0,0,0,0,1,0,0,0
57,1890566,1,3,4,9039410,5820,2642,15374649,0.245,11605191,101448,0.644,8.13,0,0,0.00121,0,0,0,1,0,0,0,0
56,2958050,0,2,2,12537333,11200,1068,11964643,0.287,8530958,74574,0.303,4.04,1,1,0.0279,0,0,0,0,0,0,1,0
56,1392851,0,3,2,12768740,5030,769,3868967,0.26,2863451,25031,0.216,2.78,0,0,0.00962,0,0,0,0,0,1,0,0
65,1273815,1,2,2,8679987,6900,851,5871328,0.229,4524895,39555,0.373,4.61,1,1,0.0103,0,0,0,1,0,0,0,0
48,2360049,1,3,3,4215644,8740,1117,9766449,0.184,7967111,69646,0.354,4.14,0,1,0.01519,0,0,0,0,1,0,0,0
36,1912896,0,2,3,28359365,8000,1546,12369532,0.178,10162970,88841,0.557,6.47,0,0,0.00013,0,0,0,0,0,0,1,0
55,2140661,0,2,2,7631540,7150,797,5697627,0.166,4752747,41547,0.233,2.66,1,1,0.05933,0,1,0,0,0,0,0,0
32,2387564,1,2,2,10200404,8800,811,7137865,0.271,5202951,45482,0.229,2.99,0,1,0.00473,0,1,0,0,0,0,0,0
39,608537,0,2,2,5719080,6800,655,4452890,0.182,3641928,31836,0.628,7.32,0,1,0.00141,0,0,1,0,0,0,0,0
49,1752837,0,2,3,9080258,5820,1568,9125125,0.177,7505694,65612,0.449,5.21,1,0,0.01202,0,0,0,1,0,0,0,0
35,2999189,0,3,3,4017664,8740,1250,10927439,0.166,9115964,79688,0.319,3.64,0,1,0.00075,0,0,0,0,1,0,0,0
38,2332304,0,1,1,13051099,8780,559,4912083,0.163,4108978,35919,0.185,2.11,0,1,0.00579,0,1,0,0,0,0,0,0
52,1610401,0,2,3,6635779,7750,1117,8660138,0.282,6214783,54327,0.405,5.38,1,0,0.17862,0,0,0,0,0,0,1,0
54,2878286,1,1,1,9723510,19800,614,12156467,0.213,9572106,83676,0.349,4.22,1,1,0.003,0,0,0,0,0,0,0,1
52,1881698,0,2,2,8328038,13700,925,12677908,0.284,9077249,79350,0.506,6.74,0,1,0.01029,0,0,0,0,0,0,1,0
26,1458271,1,2,2,3393377,6550,789,5165062,0.247,3887616,33984,0.28,3.54,0,1,0.01641,0,0,0,0,1,0,0,0
26,974702,1,1,1,10595064,7700,544,4191773,0.283,3003626,26257,0.323,4.3,0,1,0.00065,0,0,0,0,0,0,0,1
63,1263457,0,3,3,26521859,4950,1215,6014970,0.19,4869150,42564,0.404,4.76,0,1,0.20228,0,0,0,1,0,0,0,0
50,1488349,0,2,2,3001782,8000,865,6922851,0.201,5533628,48373,0.39,4.65,0,1,0.04429,0,1,0,0,0,0,0,0
29,1449652,0,3,3,9834554,5030,1581,7950576,0.172,6585422,57567,0.477,5.48,0,1,0.00074,0,0,0,0,0,1,0,0
40,1377705,1,4,3,23091128,6700,1428,9570529,0.255,7132925,62353,0.543,6.95,0,0,0.00058,0,0,0,0,1,0,0,0
66,2329268,1,4,3,11360623,4950,1461,7230853,0.155,6107407,53389,0.275,3.1,0,0,0.01404,0,0,0,1,0,0,0,0
58,1133137,0,3,3,12200018,13700,1020,13974291,0.231,10743793,93918,0.995,12.33,1,1,0.00339,0,0,0,0,0,0,1,0
53,2368115,0,2,2,9590355,7150,1039,7425382,0.185,6054778,52929,0.268,3.14,0,1,0.18441,0,1,0,0,0,0,0,0
29,1216400,0,1,1,5246199,13700,403,5522292,0.3,3868020,33813,0.334,4.54,1,1,0.00496,0,0,0,0,0,0,1,0
33,3730326,0,3,3,20411402,28000,1159,32438391,0.215,25464198,222599,0.716,8.7,0,1,0.0001,0,0,0,0,0,0,1,0
35,1724147,0,1,1,5804983,11000,617,6788839,0.27,4954547,43311,0.301,3.94,1,1,0.01733,0,0,0,1,0,0,0,0
39,1653650,0,3,2,7583871,5820,714,4158349,0.194,3352619,29307,0.213,2.51,0,0,0.01103,0,0,0,1,0,0,0,0
38,1997083,0,2,2,9052204,16700,1097,18320004,0.29,13003625,113673,0.683,9.17,0,1,0.00014,0,0,0,0,0,1,0,0
50,1683002,0,1,1,21854129,16650,579,9633936,0.167,8028940,70186,0.5,5.72,0,1,0.00108,0,1,0,0,0,0,0,0
53,2442137,0,3,3,8585867,8000,1128,9027829,0.172,7473634,65332,0.321,3.7,0,1,0.01969,0,1,0,0,0,0,0,0
30,1241632,1,3,4,21847460,8000,2004,16033336,0.271,11692203,102209,0.988,12.91,1,0,0.00519,0,1,0,0,0,0,0,0
41,2720448,0,1,1,6808382,13700,634,8681179,0.274,6299368,55067,0.243,3.19,1,1,0.05749,0,0,0,0,0,0,1,0
47,1288856,0,2,2,4994986,8000,756,6045170,0.257,4492312,39270,0.366,4.69,1,1,0.04402,0,0,0,0,0,0,1,0
52,2400539,1,1,1,7238877,8800,479,4213472,0.237,3216142,28114,0.141,1.76,0,1,0.01755,0,1,0,0,0,0,0,0
39,254651,1,3,3,14084901,11200,1131,12665588,0.269,9260681,80953,3.815,49.74,1,1,0.0,0,0,0,0,0,0,1,0
51,1999168,1,3,3,12055577,5820,1153,6713176,0.193,5417656,47359,0.284,3.36,0,1,0.00651,0,0,0,1,0,0,0,0
33,1116513,1,2,2,11159551,8000,1087,8696801,0.188,7062280,61736,0.664,7.79,0,1,0.0091,0,1,0,0,0,0,0,0
57,2915045,0,3,2,11044593,6550,724,4741832,0.292,3359369,29366,0.121,1.63,0,0,0.00095,0,0,0,0,1,0,0,0
52,59079,0,3,3,8583523,6900,1355,9350493,0.278,6755129,59051,11.994,158.27,0,1,0.0,0,0,0,1,0,0,0,0
43,1930067,1,3,3,3294285,8780,1488,13066933,0.276,9466252,82750,0.514,6.77,0,1,0.00076,0,1,0,0,0,0,0,0
36,4397115,0,2,3,9007560,6700,1198,8026958,0.18,6584290,57557,0.157,1.83,0,0,0.02932,0,0,0,0,1,0,0,0
73,1965204,1,3,3,20271041,6320,1223,7726450,0.293,5465553,47778,0.292,3.93,0,1,0.01251,0,0,0,0,1,0,0,0
